Name,Rating,Review Content
Ernestina,4.0,"I was very much in hope that this was an ultrasonic cleaner when it was offered to review. It wasnt at all certain as there is almost no information , not even the size , only the name . I have been wanting to try one for cleaning the coffee filter pucks that fit in our expresso machine as they seem very hard to clean due to their fineness. You can clean using water or Ultrasonic cleaning liquids. There are some online videos of people making their own liquids so I went with that. The cleaner isnt huge, it is around 5"" square outside dimensions and the bath section is round. The bath section is 4cm deep and 8.5cm diameter. Anyway when it came it has a little round basket with a handle in the middle making it too small for the coffee filters but if I dont use the basket it is a perfect machine for what I wanted it for. The paperwork that comes with it suggests you use it for one use then wait 5 mins before the next one. It is timed for a 5 min clean each time you press on. This actually does a good job of clearing the weeny little holes in the filters and so I shall be keeping it exclusively for that. These can be used for cleaning dental inserts, baby dummys, jewellery , gum shields, ear and nose clips, small toys, nuts and small bolts. You get a 12v 2A 3 pin transformer plug with it and a pair of plastic tweesers. The cage basket insert fits the bath area perfectly but isnt really needed, it just helps keep things from rubbing against the bottom or each other. Cant comment on value for money as no price available at present Read more"
Betty,5.0,"Excellent! My son cleans his retainers everyday easy and effectively, he sets the device to clean or sanitize while he eats. Before buying this device my son used to struggle to keep the retainers clean or even keep them in a safe place while he ready himself before wearing them. I noticed the retainers started to get a blackish stain all around, now they look brand new. This device is small enough, it practically fits anywhere, its easy to clean up and safe. I definitely recommend it."
Babycakes,5.0,"I have been using the Ultrasonic cleaner for approximately two months to clean my night guard on a daily basis. So far it’s been doing a good job. My guards are clean and I don’t have the overly minty taste in my mouth from using dental cleaner to clean them. The guards have not maintained their crystal clear appearance, which would be impossible, due to my teeth grinding in my sleep. The Ultrasonic machine is easy to set up and use. If I need to travel this little machine is easy to pack and take along."
Ingry,5.0,"Absolutely love this thing! Keeps my Invisalign and electric toothbrush head clean and sanitized. It actually extends the life of your toothbrush head and just amazes me how dirty a toothbrush head can be! Rinsing by hand and drying doesn't do enough, this little device is amazing! Easy to use, small, lightweight, convenient, and effective. It also keeps my Invisalign clean and clear. No need for expensive cleaning packets, I just use water."
Amazon Customer,4.0,"I’ve been using this ultrasonic retainer cleaner for a while now and overall it does a good job. It’s very easy to use just add water, place the retainer inside, and run the cleaning cycle. The ultrasonic cleaning helps remove buildup and keeps my aligner looking much cleaner without having to scrub it manually. The UV feature is also a nice addition for extra hygiene. My only reason for giving four stars instead of five is that sometimes it takes more than one cycle to get a completely spotless result, especially if there is heavy buildup. Still, it’s a convenient and helpful device for everyday retainer and dental appliance cleaning."
Michele Chong,5.0,Fantastic ultrasonic cleaner! I love that you have the option to use the UV option it’s done an amazing job cleaning my retainers. Every other day or so I pop in a fizzy tablet retainer cleaner and my retainers look almost brand new! Forgot to mention that before this I was drinking coffee and soda in them (I know you’re not supposed too it’s a habit) so they were getting discolored. I also love that it takes so little space on my counter but lots of interior space for the retainers.
Pam Holston,5.0,I love this. I used it every night since I've gotten it but it has completely quit working. Hoping they will replace it
Chaim schachter,5.0,I was really impressed with how this cleaner worked it’s small and doesn’t take up a lot of space by my sink.it also looks super cool and is very versatile and durable
Amazon Customer,4.0,"This is the second ultrasonic retainer cleaner I had bought, this one after my first died. It does work to get the retainer clean, but wasn’t the fantastic hit my previous one was. It works, leaves retainers nice and clean. Bonus if you through a little hydrogen peroxide in it too for better cleaning. The light is supposed to help disinfect it, obviously hard to say if that is true. The previous one I had worked as well, if not better than this, so the lights may just be a gimmick. But overall it is fine."
SeaNatRen,5.0,We use it to clean mouth guards for use during sleep. It was a challenge to keep them clean. With this little machine it's a breeze.
hengis man,5.0,"I use a night guard to stop grinding my teach and it just cost me a lot of money. I also had it cleaned any time I went to the dentist (twice a year). But now, with this wonder device and just tape water, five minutes and it looks like new. Marvelous product."
Charlene j.,5.0,I've had this for quite sometime now and use it every night to clean my denture. It gets out my coffee stains as well as stains from smoking. This is the second one I've purchased over the past several years. Most Definitely functions as it states and worth the money. I take it on trips and it fits perfectly in the corner of my suitcase. So very easy to use.
Dr. Bing,5.0,"I'm impressed with this Ultrasonic UV Cleaner! Not only does it keep my dentures and aligners spotless, but it also works wonders on my jewelry. The combination of ultrasonic and UV technology ensures thorough cleaning, and the temperature control feature is a bonus. Plus, its sleek design adds a touch of elegance to my bathroom counter. A must-have for anyone looking to maintain their dental appliances and jewelry!"
Tenisha,1.0,Horrible. Extremely loud and not ultrasonic at all!!! Does not clean!
Heidi,5.0,Great in the beginning. Doesn’t heat as well as I first bought it. Better than spending on pricier ones
Brandy S.,3.0,"Seems like it cleans well. Very sleek but VERY LOUD! In the bathroom, it's just a loud rattle type noise from the vibration but outside the bathroom it almost sounds like a high pitch squeal."
Gannon Toolan,5.0,"This small ultrasonic cleaner allows you to soak a variety of objects such as glasses, jewelry, bracelets, and more. The safety instructions are obvious, do not use it on objects that cannot be submerged underwater. After a few seconds, you'll be surprised to see swirls of black dirt escaping from your object and your jewelry taking on a new shine."
Lucy,4.0,"This machine works well and is very simple to use. I've used it several times for teeth trays and for jewelry. It is not quiet though, I can definitely hear it from another room."
Bobbie L. Reyes,5.0,"This product worked great until it suddenly stopped after a few uses. I contacted customer support, and they were outstanding. Prompt response and shipment of a replacement device. They even upgraded me to the pro version for free. The new device is even better and working great so far. This company has customer service nailed! Highly recommend."
g1nh,1.0,"Beware of the bait-and-switch. The product’s website description and instructions on the outside of the box specify that all you need to do for cleaning is “place your appliance in the ultrasonic cleaner with cold water and turn it on.” Once you buy the unit and open the box, however, you learn that you also have to add a cleaning tablet, which of course you need to buy once the few the device comes with runs out. I’m already using cleaning tablets, which work just fine in a bowl of water. I bought this so I wouldn’t have to keep buying new tablets. Also, on my second use of the device, it began alternating between a gentle purr, which you would expect, and a grinding noise, which made me think the motor was already having trouble."
Chris Fagan,5.0,Works as advertised.
Luis,1.0,"Bought the official Invisalign cleaner instead of the knock off versions hoping to get a quality product, it didn't last a year, stopped working about a month ago. Tried calling the support number listed here at Amazon and was waiting for about an hour when I gave up. Would've bought the cheap versions if I knew this was the same product with fancy branding and no support."
CO book lover!,5.0,"This is a great find! If you have trays (aligners) for your teeth, this is the fastest and easiest way to get them clean. With or without the tablets, this cleaner gets my trays shiny and clear. I love it and would encourage anyone with aligners to get it. All you have to do afterwards is just rinse them off!"
becky,1.0,"The Invisalign Ultrasonic burnt itself out (the cord smelled like burnt wiring) only after 2 wks. of use. Of course, my product return date from Amazon ended 3/26/26, and the Invisalign Ultrasonic died on 3/28/26. I would NOT recommend purchasing this item."
LS,5.0,Terrific device--cleans the Invisalign trays lickety-split. Couldn't do the whole Invisalign program without it!
Kay R.,1.0,"Please do not purchase this item. It started out fine and worked great AT FIRST, then it suddenly refused to turn on at all. It was a complete waste of money. Amazon has refused to assist in refunding or replacing the same. Avoid purchasing this at all costs. It's over priced and cannot be used longer than a few weeks then it stops working completely. There is no information on how to trouble shoot or fix. Poor value and a complete waste of money. I am so disappointed!"
Jason Senior,5.0,"Solid product. I liked the LED display, the two cleaning modes and the addition of UV light to the cleaning process. Easy to use, easy to clean, and it appears to be effective."
kaylynn smith,5.0,"I was honestly shocked by the before and after results from using the Ultrasonic Retainer Cleaner. I 100% recommend getting one. I had never seen a more drastic difference in my retainers before, and i’ve brushed them with a tooth brush, soaked them for longer, and tried all kinds of different tablets. But using this machine my retainers went from having a foggy film over them with yellow spots in certain areas to being completely clear and spotless. it made them look almost brand new again. This machine is easily one of the best purchases i’ve ever made. if you have ever had problems like I do with mine and you even brush them and use the tablets like the ortho tells you too and it doesn’t work, Use this machine! it won’t let you down!"
Aleksa,5.0,"I use this ultrasonic cleaner for my retainers and jewelry and it works great for both. My retainers come out spotless and feel so fresh afterward. I also tried it with my earrings and they look like new, so shiny and clean. The size is perfect, it is easy to use, and the pink color looks really cute on my counter. I am very happy with this purchase."
Diana,1.0,"After a couple of months, the charger broke inside the device. It’s jammed and unusable, and I fear forcing it out wouldn’t do much. It did a decent job while it did work, but I’d recommend you spend a few extra dollars and get something that will actually last you longer than 3 months. Better for the environment and your wallet!"
bob,3.0,This Ultrasonic Cleaner Machine does clean some of the gunk off of the mouth guard. It has not cleaned it all off after a couple of weeks. The holes where you can put a toothbrush head for cleaning is quite small - many toothbrushes won't fit through the holes.
Riley,5.0,"Bought it for my daily aligner cleaning. It has different modes for different lengths of cleaning sessions. Very easy to use and convenient. Definitely make my alignment experience easier. I can take the aligner out and put it in the cleaner whenever I want to eat, and I don't need to worry about brushing it after or forgetting it in the tissue wrap. I got the pink one, which looks cute. One button to turn on and off, also to control different modes. So far, used it for about a week, and it works great."
Annie,5.0,Works great! Very durable! Compact and great for travel!
Emily,5.0,This was excellent for cleaning my trays during Invisalign treatment and helped me feel fresh!
Big bear M,5.0,"I use retainers daily, and cleaning them properly with just a toothbrush never really feels enough, especially around small crevices and buildup areas. After using this ultrasonic retainer cleaner for a while, I can definitely tell the difference in how much fresher and cleaner my retainers feel. The 49KHz ultrasonic cleaning works very well for removing residue that regular brushing misses. I especially noticed improvement around tighter corners and hard-to-clean spots. When paired with cleaning tablets, it works even better for deeper cleaning and odor removal. I also like the addition of the built-in UV lamps. The combination of ultrasonic cleaning and UV treatment helps the retainers feel fresher after each cycle, especially after overnight wear. One feature I really appreciate is the small viewing window on the lid. It allows you to see inside while the machine is running, which makes it easier to monitor the cleaning process instead of completely guessing what’s happening inside. The multiple cleaning modes are practical too. I usually use the quick clean mode for daily maintenance and the deeper cleaning mode occasionally when I want a more thorough cleaning session. Another thing I appreciate is how quiet the machine is during operation. It runs much more quietly than I expected and doesn’t create much disturbance on the bathroom counter or desk. Besides retainers, I’ve also been using it to clean electric toothbrush heads, which works surprisingly well for removing buildup around the bristles and keeping them fresher between replacements. The dual-slot lid design is thoughtful because it allows storage or cleaning for toothbrushes alongside dental appliances. The included tweezers are also useful for more hygienic handling. The 220ML stainless steel tank feels durable and is large enough for retainers, mouth guards, aligners, and even small jewelry items. The compact size also makes it easy to store or pack for travel. Overall, this is a very convenient and effective ultrasonic cleaner that makes retainer, toothbrush head, and dental appliance maintenance much easier and more hygienic. Read more"
Loous,5.0,"I bought this ultrasonic cleaner mainly for my night guard and retainer because brushing alone did not always make them feel completely clean. The machine is small enough to keep on the bathroom counter, and the 220ML size works well for dental items without taking up much space. I add water, place the retainer inside, set the timer, and let it run while I get ready in the morning. The cleaning process is simple, and I like that I do not have to scrub as much by hand. After using it, my retainer feels fresher and cleaner, especially around small grooves that are harder to reach with a toothbrush. I also tried it with a few pieces of jewelry, and it helped remove light buildup. The digital timer is easy to read, and the noise level is acceptable for bathroom use. For daily retainer, night guard, and small accessory cleaning, it has been convenient and easy to use."
Michelle,5.0,"Before getting this, I used to clean my retainer with a toothbrush, and it always felt kind of inconvenient and never felt fully clean. It took time, and I still felt like I couldn't really get into all the small areas. With this cleaner, it's so much simpler. I just fill it with water, drop the retainer in, and let it run. After a few minutes, it comes out looking clearer and feeling fresher than when I used to brush it. The size is compact but fits my retainer easily, and the timer makes it straightforward to use. I've also tried it with a toothbrush and some small jewelry, and it worked well for those, too. It's become part of my routine now."
Krista,5.0,"When I travel for work, keeping my dental appliances clean can be tricky. I take this ultrasonic retainer cleaner with me because it fits easily in my bag and handles my retainers, dentures, and toothbrush heads without taking up much space. I fill it with water, drop in my items, and select the 10-minute deep clean mode. It starts quietly, and I can continue with other tasks while it runs. The 49KHz ultrasonic waves reach every tiny crevice, and the UV lamps reduce odors and residues. I feel confident that my retainers and aligners are thoroughly cleaned even in hotel rooms with limited facilities. I often use the dual-slot design to clean my electric toothbrush head and aligner at the same time. The machine operates quietly, so it does not disturb anyone around me. Its 220ML capacity is surprisingly roomy for travel, yet the compact design keeps it easy to carry. After cleaning, my retainers feel fresh and look spotless. I enjoy having a device that combines deep cleaning, quiet operation, and portability. It adds a small but meaningful convenience to my trips."
Hugo Ivan,5.0,"This ultrasonic cleaner has been a great addition to my daily routine for keeping dental appliances clean. I mainly use it for my retainer, and it works very well at keeping it fresh and hygienic. Setup is extremely easy. Just add water, place the item inside, set the timer, and let it run. It’s very low effort compared to manual cleaning, which makes it easy to use regularly. I like the 49KHz cleaning power because it feels effective without being harsh on delicate items. Everything comes out looking cleaner and feeling smoother after each cycle. The 220ml tank is a good size for personal use, and it doesn’t take up much space on my bathroom counter. It’s compact but still practical. It’s also useful for cleaning small accessories like jewelry, which makes it more versatile than I expected. Overall, this is a very easy-to-use and reliable cleaning device. It helps maintain better hygiene with minimal effort and fits well into a daily routine. I’m very happy with it. Read more"
Jessenia Alfaro,5.0,"I’ve been using this ultrasonic cleaner for my retainer and it does a nice job. It’s very easy to use, just add water and start it. After the cycle, the retainer looks cleaner and fresher. I also like that it’s compact and doesn’t take much space. The lid closes well and it feels sturdy. Overall, it works as expected and is a practical little device to have."
paul preston,5.0,"The 48kHz frequency gets into every tiny crevice, removing plaque and grime that brushing just can't reach. My retainer feels fresh and spotless every time, and my earrings sparkle like new. The 200ML capacity is perfect for small items, and the white design looks sleek on my bathroom counter. It's super easy to use—just add water, drop in your items, and press a button. I love that it's not just for dental stuff; it's great for jewelry too. Definitely worth every penny, I highly recommend it!"
YC,5.0,"I’ve been using this ultrasonic cleaner for my retainers and it works really well. The 48kHz ultrasonic cleaning does a great job getting into small crevices and removing buildup that brushing alone can’t reach. The multiple cleaning modes are convenient depending on how deep of a clean you want, and the machine is very quiet while running. It’s also compact and portable, so it doesn’t take up much space on the counter and can easily be packed for travel. Overall, it’s simple to use and keeps dental appliances fresh and clean. Definitely a useful addition to my daily routine."
kenia,5.0,"In short, if you want to keep your dentures clean quickly, safely, and hassle-free, this ultrasonic cleaner is totally worth it. It’s practical, effective, and keeps my mom’s dental appliances in great condition."
Randy Fox,4.0,It works great n fast along with brushing them.
Amazon Customer,5.0,"This is insanely a great product! Literally those into cute ball 🎱 set it and let it di it's thing! Shuts self off. But be sure to unplug, enjoy!"
Johnny Reviewer,1.0,"If I had the box I'd return it! My clear night guard is more discolored now than when I got this thing about 3 weeks ago. I like the size and ease of use, and it's not very loud, but unfortunately, it doesn't appear to be cleaning the guard. What a waste of money."
Ness,5.0,This really works well you can see the dirt in the water from sterilization if you have partials or dentures best to get so all bacteria is completely removed it prevents you from getting gum disease also you can clean jewelry as well great to have
CJ,5.0,"I've been an avid user of this ultrasonic cleaner for my Invisalign trays for a remarkable seven years now, and it has truly been a game-changer in my dental care routine. From the very first day of use, I was impressed by its efficiency and reliability. This ultrasonic cleaner has consistently delivered outstanding results, ensuring that my Invisalign trays remain impeccably clean and free from any buildup or residue. Its ultrasonic technology ensures thorough cleaning, reaching even the tiniest crevices of the trays without any hassle. One of the aspects that truly sets this cleaner apart is its durability. Despite daily use over the years, it has remained robust and dependable, never faltering in its performance. The quality craftsmanship is evident in its sturdy construction and reliable functionality. Additionally, the ease of use of this device deserves commendation. It's incredibly user-friendly, requiring minimal effort to operate. The straightforward design makes it a breeze to incorporate into my daily routine without any hassle. Overall, I cannot recommend this ultrasonic cleaner highly enough for fellow Invisalign users. It has been an indispensable tool in maintaining the hygiene and longevity of my trays, consistently exceeding my expectations. If you're in search of a reliable and quality device to enhance your dental care routine, look no further – this ultrasonic cleaner is the perfect solution! Pros: Reliable performance for daily use Exceptional durability, lasting for years without any decline in quality Effortless operation and user-friendly design Ensures thorough cleaning of Invisalign trays, leaving them impeccably clean Cons: None to mention, this cleaner has surpassed all expectations! In summary, it deserves a resounding five-star rating for its exceptional performance and longevity. Invest in this ultrasonic cleaner, and you won't be disappointed! Read more"
Ralph J,5.0,"Probably one of my favorite and most used products I’ve ever purchased. I know this is a late review, but I’ve had it for several years now and still use it regularly for my Invisalign retainers. It works exactly as expected and has held up really well over time. The first time I used it, I was honestly shocked at how much buildup it removed. I thought my retainers were already clean, but this showed me otherwise. Since then, it’s become part of my routine and keeps everything feeling fresh. Super easy to use, reliable, and definitely worth it if you wear retainers or any similar dental appliances."
Meagan A,5.0,"I am giving this 5 stars and will update if needed in the future. 6/23 I REALLY appreciate legit reviews with pictures and videos so I am making an effort to review more to help others. Lots of folks post about these ultrasonic machines using relatively new Invisalign-type retainers which just isn’t going to compare to a night guard or multiple-year-old retainer. I read hundreds of reviews before deciding on this one and forgoing a used professional dentist-grade machine on eBay. The negative first: I don’t LOVE that I can’t remove the tank to drain and rinse but I won’t ding them for that unless it becomes an issue later. Positives: relatively small realty space, quiet, easy to use, seems to do the job. My guard is almost 3 years old and has darkening stains in the molars especially. I typically brush it with a toothbrush, a scant amount of toothpaste and cool water. I used all the retainer powder provided and did 4 cycles. The first two cycles I used the retainer powder provided. I gave it a 10-15 min break her the instructions to cool down then ran it two more times using half of a retainer brite tablet each time. I’m super impressed. Hard to tell via images but it did VERY well removing the darkened spots almost completely. I’m sure repeated use will get the job done entirely."
Jesus Navarro,4.0,"I use these for my retainers. They are the clear Invisalign-type retainers. You fill with water, toss your retainers or whatever in there and turn it on. It turns off automatically after 5 minutes. Then remove your retainers, rinse them off and that's it. I do this every night and my retainers stay nice and clean. Cleaning the device itself is annoying. Apparently you used to be able to remove the water reservoir but not anymore. That means you need to unplug and grab the entire thing to pour out the left over water. Cleaning is a bit annoying as well because you want to make sure you don't spill too much water over the sides and cause any water damager. But otherwise it's not too bad. Once a week I throw in my retainers as well as a denture tablet. Mine came with a few tablets but I also grabbed a pack of walmart tablets and they work just fine. Then I fill with water, toss a tablet, then put the retainers in. Put them in the machine for three cycles: two back-to-back 5-minute cycles, then wait 5 minutes for the machine to cool down, then one final 5-minute cycle. Then remove the retainers and rinse + clean out the denture water from the machine. It's a shame you can't remove the water reservoir anymore because that would make cleaning much easier, but from what I understand they did this because too many people were messing up their devices. Oh well. Still a good purchase. Read more"
tlb,5.0,"I’ve been very happy with this. I’ve used it daily for about 6 months. It definitely seems “stronger” (finger tingles) and to be more effective than another ultrasonic cleaner I bought a few months before this one. Once I tried this one, I gave away the older one. My aligner trays stay much more clear now. I do use this in conjunction with a 1/2 of an iSonic cleaning tablet. Its stainless steel lining is easy to clean. I just tip it forward into the sink and run the water around it. Operation is easy as it is just a double push on the power button to activate cleaning. There’s an automatic shutoff and you are advised not to run it over and over without letting it rest in between cycles. But, I rarely feel I want a 2nd cycle anyway."
Fabian Villalobos,2.0,Ya no funciona ..... como Puedo hacer para hacer el reclamo?
AK’S ELEGANCE EMPORIUM,5.0,"I bought this ultrasonic cleaner mainly for my retainers, but I’ve ended up using it for my jewelry too—and wow, it works so well. After just one cycle, my retainers looked and felt noticeably cleaner, like that fresh-from-the-dentist feeling. It gets into all the little crevices you can’t reach with brushing alone. What really impressed me is how well it cleans jewelry. I dropped in a couple of rings and a necklace that had lost their shine, and they came out looking bright and refreshed—no harsh chemicals needed. It’s super easy to use: just add water, press a button, and let it do its thing. It’s also compact enough to keep on the counter without taking up much space. The noise level is low, more of a soft hum than anything. If you wear retainers, aligners, or just want a simple way to keep your jewelry sparkling, this is definitely worth it. Clean, convenient, and surprisingly powerful!"
Shikha,5.0,"I’ve been using this ultrasonic cleaner for my retainer and it’s honestly a game changer. It’s super simple to use—just add water, press a button, and it does all the work. My retainer comes out looking way cleaner and fresher every time. I like how compact it is, doesn’t take up much space, and the design looks really clean and modern. It’s also pretty quiet, which is a nice bonus. Definitely worth it if you use retainers, aligners, or mouth guards. Makes cleaning so much easier!"
Buying Guy,5.0,"I’m really impressed with this ultrasonic cleaner! It’s marketed as a dental retainer cleaner, and it probably delivers on that—since it uses 46KHz ultrasonic cleaning combined with UV light to do its cleaning, but that’s not what I bought it for! I wanted a jewelry cleaner and this little device surprised me in how well it works! I tried it on a few rings and necklaces, and they came out looking almost brand new—way better than I expected from a product designed for oral appliances. The build quality also stands out. It feels sturdy, operates quietly, and the one-button controls make it super easy to use. The different cleaning modes are nice too, and I appreciate the safety features and long warranty—it gives a lot of confidence in the product. My only small complaint is that you do need to buy the cleaning tablets/fluid separately. It works well with them, but it would have been great if a starter supply was included in the package so you can get the best results right away. Overall, a high-quality, versatile cleaner that goes beyond just retainers—I’d definitely recommend it! Read more"
bigfoot16m,1.0,"Bought this unit for my retainer. Seemed to work well for 9 days. It didn't clean any better than the old device I had before this one. The machine stopped working after 9 days. The lights turn on. But, the motor stopped working."
Klands1,5.0,"I’ve been cleaning my retainers by hand for months, but this ultrasonic cleaner is a total game changer. It’s compact enough for my bathroom counter and surprisingly quiet. I love that it has both ultrasonic cleaning and UVC sterilization—my night guard comes out looking brand new ."
Alice120,5.0,"As someone who worked in a jewelry store for 10 years, I’ve used some of the best industrial ultrasonic cleaners on the market. I can honestly say the Beser Ultrasonic Jewelry Cleaner comes remarkably close to the professional equipment we used in the shop. The ""2X Clean"" ultrasonic power is incredibly effective at shaking loose the lotions, oils, and dust that dull a stone’s brilliance, especially in those hard-to-reach intricate settings. The added ""4X Sterilize"" feature is a fantastic bonus you don’t usually see in home units, ensuring pieces like earrings are truly sanitized. It has a sleek pod design that fits perfectly on a vanity without the noise and bulk of a commercial machine. If you want a professional-level finish for your gold, silver, and gemstones without a trip to the jeweler, this is a top-tier investment. It restores that ""showroom shine"" in minutes. Highly recommended!"
Maria Rosales,5.0,"This ultrasonic retainer cleaner works really well! It’s simple to use and leaves my retainer feeling fresh and super clean. I like that it helps sterilize and removes buildup better than just rinsing. It’s compact, quiet, and perfect for daily dental care. Definitely worth it!"
Tabitha Tidwell,4.0,It works good.
Amazon Reviewer,5.0,"Historically I have cleaned my retainer by soaking it in vinegar when I think of it. My dentist was surprised by how clean it was considering it was 15 years old. I've seen ads for these from all kinds of brands, and decided at $19.99 it was worth a shot. Plaque build up is a thing. First impression was that the instructions and the machine don't quite line up. It says to fill between the min and max line, but there is only a max line. It sounds like those jewelery cleaners that you can hear constantly in the back of shops, and has a UV setting to theoretically kill bacteria. As someone who is autistic and overstimulated by noise very easily, the sound of this is grating. I hate it passionately, but am dealing with it/making accomodations while it runs in hopes for cleanliness. Fun fact: these cleaners are the number one reason I don't go into jeweler shops. Not only do I not need to buy jewelery, but even looking drives me nuts because of these. Back to to important stuff: I don't have an incubator and petri dish to test if the UV on this machine actually does a good job killing all those nasties. It does fit both my retainers at the same time - I have a removable top and bottom. I can't tell visually that it is any cleaner than it was. The plaque is still present even after 15 minutes of run time (initial 5, followed by another 10 in case maybe because of age this would help loosen things up). It does mention in the instructions that jewelry should be run on the 10 min setting. This tells me it does jewelry, I wasn't personally planning on using this for that, but sure! My wedding ring hasn't been cleaned since I bought it. I can't tell a difference in its cleaning either. It looks just as it was when I put it in. For both cleanings the water got increasingly warm, something is happening, but I'm not really sure its cleaning anything better than some vinegar would. UPDATE: I still cant confirm if the UV is real, but over time it has completely removed the visible plaque from my retainers. I havent repeated a cleaning of jewelery, but it is clearly doing something to get the retainer build up off. Read more"
Gary,5.0,"Ultra compact, je m'attendais à plus grand mais c'est ma faute car je n'ai pas lu la description comme il faut, patins anti-dérapants. Facile d'utilisation: vous mettez la solution ( ou le mélange) dans la cuve sans dépasser le repère ""max"", vous y déposer votre bague par exemple et vous choisissez la durée; 5 minutes, 10 ou seulement la lumière UV. Légèrement bruyant mais rien de fou, autant qu'un téléphone qui vibre. L'étanchéité à l'air bien assurée mais il vaut quand même mieux prévoir un verre pour verser la solution."
